u_z	r
2.2336	0.0000
2.2352	0.0564
2.2353	0.1083
2.2353	0.1488
2.2367	0.1886
2.2408	0.2318
2.2457	0.2691
2.2562	0.3110
2.2712	0.3524
2.2712	0.3901
2.2293	0.4114
2.1300	0.4282
2.0349	0.4367
1.8824	0.4465
1.8427	0.4489
1.7331	0.4540
1.6688	0.4568
1.5374	0.4616
1.4726	0.4640
1.3531	0.4677
1.2709	0.4709
1.2009	0.4724
1.0493	0.4765
0.9831	0.4774
0.7958	0.4823
0.6964	0.4849
0.5722	0.4873
0.5128	0.4887
0.4072	0.4916
0.3420	0.4926
0.2147	0.4951
0.1465	0.4971
0.0565	0.4989
0.0000	0.4996
