u_r	r
0.0000	0.0000
-0.0149	0.0105
-0.0317	0.0234
-0.0549	0.0415
-0.0823	0.0622
-0.0985	0.0745
-0.1236	0.0936
-0.1382	0.1043
-0.1641	0.1239
-0.1793	0.1357
-0.2051	0.1555
-0.2182	0.1652
-0.2455	0.1864
-0.2586	0.1973
-0.2873	0.2209
-0.2991	0.2306
-0.3204	0.2495
-0.3349	0.2638
-0.3554	0.2856
-0.3734	0.3116
-0.3809	0.3337
-0.3776	0.3567
-0.3662	0.3723
-0.3466	0.3868
-0.3296	0.3963
-0.3065	0.4059
-0.2867	0.4129
-0.2643	0.4194
-0.2450	0.4244
-0.2225	0.4300
-0.2015	0.4343
-0.1792	0.4391
-0.1614	0.4425
-0.1372	0.4464
-0.1182	0.4498
-0.0968	0.4528
-0.0760	0.4558
-0.0531	0.4593
-0.0378	0.4618
-0.0074	0.4673
0.0000	0.4677
